Hostname,InterfaceName,Description,IP,MAC,InterfaceState,ProtocolState,LinkQuality,InputRate,OutputRate
R1-FLASK,Ethernet1/0/0,netmiko-lahcen-py,192.168.1.15/24,387b-2901-0100,UP,UP,GOOD,0.01%,0.00%
R1-FLASK,Ethernet1/0/1,,,387b-2901-0101,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/2,PC-HOME,192.168.2.101/24,387b-2901-0102,UP,UP,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/3,,,387b-2901-0103,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/4,TO-AD-SRV,10.10.1.1/24,387b-2901-0104,UP,UP,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/5,fatima-ofppt,12.12.12.12/24,387b-2901-0105,UP,UP,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/6,,,387b-2901-0106,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/7,,,387b-2901-0107,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/8,,,387b-2901-0108,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,Ethernet1/0/9,,,387b-2901-0109,UP,DOWN,GOOD,0.00%,0.00%
R1-FLASK,GigabitEthernet0/0/0,TEST-FLASK,117.1.1.1/24,387b-2901-1110,UP,UP,GOOD,0.00%,0.00%
R1-FLASK,LoopBack0,LoopBack-R1,1.1.1.1/32,,UP,UP,,0.00%,0.00%
R1-FLASK,NULL0,,,,UP,UP,,0.00%,0.00%
R2-HOME,Ethernet1/0/0,netmiko-lahcen-py,192.168.1.16/24,387b-2902-0100,UP,UP,GOOD,0.01%,0.00%
R2-HOME,Ethernet1/0/1,,,387b-2902-0101,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/2,,,387b-2902-0102,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/3,TEST-VULA,1.1.1.1/30,387b-2902-0103,UP,UP,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/4,,,387b-2902-0104,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/5,,,387b-2902-0105,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/6,,,387b-2902-0106,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/7,,,387b-2902-0107,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/8,,,387b-2902-0108,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,Ethernet1/0/9,,,387b-2902-0109,UP,DOWN,GOOD,0.00%,0.00%
R2-HOME,GigabitEthernet0/0/0,wifi,5.5.5.5/30,387b-2902-1110,UP,UP,GOOD,0.00%,0.00%
R2-HOME,LoopBack0,LoopBack-R2,3.3.3.3/32,,UP,UP,,0.00%,0.00%
R2-HOME,NULL0,,,,UP,UP,,0.00%,0.00%
